localeName,academicYear,metricID,title,description,source,categoryID,categoryLabel,disagg,subgroup,value,denom,perc,dataType,missingFlag,ferpaFlag,,transfer_rate,at_risk,college_encoded,ethnicity_encoded
Allan Hancock College,2015,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Asian,11,149,0.07383,Number,0,0,,0.07383,0,0,2
Allan Hancock College,2015,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Filipino,16,172,0.09302,Number,0,0,,0.09302,0,0,4
Allan Hancock College,2015,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Hispanic,207,4556,0.04543,Number,0,0,,0.04543,1,0,5
Allan Hancock College,2015,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,White,144,2604,0.0553,Number,0,0,,0.0553,1,0,9
Allan Hancock College,2015,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,All Masked Values,17,593,0.02867,Number,0,0,,0.02867,1,0,0
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Asian,16,159,0.10063,Number,0,0,,0.10063,0,0,2
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Filipino,12,205,0.05854,Number,0,0,,0.05854,0,0,4
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Hispanic,219,5380,0.04071,Number,0,0,,0.04071,1,0,5
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,White,151,2871,0.05259,Number,0,0,,0.05259,1,0,9
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Two or More Races,14,304,0.04605,Number,0,0,,0.04605,1,0,7
Allan Hancock College,2016,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,All Masked Values,9,401,0.02244,Number,0,0,,0.02244,1,0,0
Allan Hancock College,2017,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Asian,12,152,0.07895,Number,0,0,,0.07895,0,0,2
Allan Hancock College,2017,SM 622SZ,Transferred to a Four-Year Institution,"Among students in selected student journey, the number of students who earned 12 or more units at any time and at any college up to and including the selected year, who exited the community college system, and who enrolled in a four-year institution in the selected year","Chancellor's Office Management Information System, National Student Clearing House",614,Transferred to CSU/UC,Ethnicity,Filipino,15,203,0.07389,Number,0,0,,0.07389,0,0,4
